ID,GroupName,VerticeSet,EdgeSet,NumHydrogenSet,StrictlyEqual
1,amine,['N1'],[],[2],1
2,nitrile,"['N1','C1']","[('N1','C1'),('N1','C1'),('N1','C1')]","[0,0]",1
3,imine,"['N1','C1']","[('N1','C1'),('N1','C1')]","[0,0]",0
4,sulfide,['S1'],[],[0],1
5,thiol,['S1'],[],[1],1
6,halide_F,['F1'],[],[0],1
7,halide_Cl,['Cl1'],[],[0],1
8,halide_Br,['Br1'],[],[0],1
9,halide_I,['I1'],[],[0],1
10,phosphate,"['P1','O1','O2','O3','O4']","[('P1','O1'),('P1','O1'),('P1','O2'),('P1','O3'),('P1','O4')]","[0,0,0,0,0]",0
11,alcohol,['O1'],[],[1],1
12,carboxylic_acid,"['C1','O1','O2']","[('C1','O1'),('C1','O1'),('C1','O2')]","[0,0,1]",1
13,acid_halide_F,"['C1','O1','F1']","[('C1','O1'),('C1','O1'),('C1','F1')]","[0,0,0]",1
14,acid_halide_Cl,"['C1','O1','Cl1']","[('C1','O1'),('C1','O1'),('C1','Cl1')]","[0,0,0]",1
15,acid_halide_Br,"['C1','O1','Br1']","[('C1','O1'),('C1','O1'),('C1','Br1')]","[0,0,0]",1
16,ester,"['C1','O1','O2']","[('C1','O1'),('C1','O1'),('C1','O2')]","[0,0,0]",1
17,anhydride,"['O1','C1','O2','C2','O3']","[('O1','C1'),('O1','C1'),('C1','O2'),('O2','C2'),('C2','O3'),('C2','O3')]","[0,0,0,0,0]",1
18,imide_0,"['O1','C1','N1','C2','O2']","[('O1','C1'),('O1','C1'),('C1','N1'),('N1','C2'),('C2','O2'),('C2','O2')]","[0,0,0,0,0]",1
19,imide_1,"['O1','C1','N1','C2','O2']","[('O1','C1'),('O1','C1'),('C1','N1'),('N1','C2'),('C2','O2'),('C2','O2')]","[0,0,1,0,0]",1
20,amide_0,"['O1','C1','N1']","[('O1','C1'),('O1','C1'),('N1','C1')]","[0,0,0]",1
21,amide_1,"['O1','C1','N1']","[('O1','C1'),('O1','C1'),('N1','C1')]","[0,0,1]",1
22,amide_2,"['O1','C1','N1']","[('O1','C1'),('O1','C1'),('N1','C1')]","[0,0,2]",1
23,isocyanate,"['N1','C1','O1']","[('N1','C1'),('N1','C1'),('C1','O1'),('C1','O1')]","[0,0,0]",1
24,aldehyde,"['C1','O1']","[('C1','O1'),('C1','O1')]","[1,0]",0
25,ketone,"['C1','O1']","[('C1','O1'),('C1','O1')]","[0,0]",1
26,benzene,"['C1','C2','C3','C4','C5','C6']","[('C1','C2'),('C1','C2'),('C2','C3'),('C3','C4'),('C3','C4'),('C4','C5'),('C5','C6'),('C5','C6'),('C6','C1')]","[0,0,0,0,0,0]",0
