amine,nitrile,imine,sulfide,thiol,sulfate,halide_F,halide_Cl,halide_Br,halide_I,phosphate,alcohol,carboxylic_acid,acid_halide_F,acid_halide_Cl,acid_halide_Br,acid_halide_I,ester,anhydride,imide,amide,isocyanate,aldehyde,ketone,benzene
692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
592,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
5551,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,1,2
5552,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,1,2
2928,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2
5555,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2
5556,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2
2246,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2
5561,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2
5562,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2
